"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.00904547073001456,17,63,3,0.0476190476190476,0.176470588235294,"GO:0006068","GO:BP","ethanol catabolic process",26963,1935,"GO:0006067; GO:0034310"
"query_1",TRUE,0.00904547073001456,20,63,3,0.0476190476190476,0.15,"GO:0006067","GO:BP","ethanol metabolic process",26963,1934,"GO:0034308"
"query_1",TRUE,0.00932138269558438,23,63,3,0.0476190476190476,0.130434782608696,"GO:0034310","GO:BP","primary alcohol catabolic process",26963,8564,"GO:0034308; GO:0046164"
"query_1",TRUE,0.0109264577171854,260,63,6,0.0952380952380952,0.0230769230769231,"GO:0042445","GO:BP","hormone metabolic process",26963,10185,"GO:0008152; GO:0010817"
"query_1",TRUE,0.0129649879146529,176,63,5,0.0793650793650794,0.0284090909090909,"GO:0006694","GO:BP","steroid biosynthetic process",26963,2402,"GO:0008202; GO:0008610"
"query_1",TRUE,0.0129649879146529,570,63,8,0.126984126984127,0.0140350877192982,"GO:1901615","GO:BP","organic hydroxy compound metabolic process",26963,21597,"GO:0008152"
"query_1",TRUE,0.0155669774843797,189,63,5,0.0793650793650794,0.0264550264550265,"GO:0120254","GO:BP","olefinic compound metabolic process",26963,19583,"GO:0008152"
"query_1",TRUE,0.0222263896397031,114,63,4,0.0634920634920635,0.0350877192982456,"GO:0034308","GO:BP","primary alcohol metabolic process",26963,8562,"GO:0006066"
"query_1",TRUE,0.0222263896397031,342,63,6,0.0952380952380952,0.0175438596491228,"GO:0008202","GO:BP","steroid metabolic process",26963,3129,"GO:0006629"
"query_1",TRUE,0.0230680575803067,46,63,3,0.0476190476190476,0.0652173913043478,"GO:0046164","GO:BP","alcohol catabolic process",26963,11934,"GO:0006066; GO:0044282; GO:1901616"
"query_1",TRUE,0.0237453442953687,360,63,6,0.0952380952380952,0.0166666666666667,"GO:0006066","GO:BP","alcohol metabolic process",26963,1933,"GO:0044281; GO:1901615"
"query_1",TRUE,0.00120780637999575,16,63,3,0.0476190476190476,0.1875,"GO:0030061","GO:CC","mitochondrial crista",27195,850,"GO:0005743; GO:0110165"
"query_1",TRUE,0.00140853447758929,94,32,5,0.15625,0.0531914893617021,"KEGG:00140","KEGG","Steroid hormone biosynthesis",9330,17,"KEGG:00000"
"query_1",TRUE,0.00462994677738823,72,32,4,0.125,0.0555555555555556,"KEGG:04927","KEGG","Cortisol synthesis and secretion",9330,384,"KEGG:00000"
"query_1",TRUE,0.0134168193993313,1616,32,14,0.4375,0.00866336633663366,"KEGG:01100","KEGG","Metabolic pathways",9330,181,"KEGG:00000"
"query_1",TRUE,0.029427690453941,63,32,3,0.09375,0.0476190476190476,"KEGG:04913","KEGG","Ovarian steroidogenesis",9330,370,"KEGG:00000"
"query_1",TRUE,0.0400987474251486,162,32,4,0.125,0.0246913580246914,"KEGG:04934","KEGG","Cushing syndrome",9330,391,"KEGG:00000"
"query_1",TRUE,0.00103065239215552,39,27,4,0.148148148148148,0.102564102564103,"REAC:R-MMU-196071","REAC","Metabolism of steroid hormones",8429,850,"REAC:R-MMU-8957322"
"query_1",TRUE,0.0159221926992506,1667,27,14,0.518518518518518,0.00839832033593281,"REAC:R-MMU-1430728","REAC","Metabolism",8429,831,"REAC:0000000"
"query_1",TRUE,0.0236669538195143,123,27,4,0.148148148148148,0.032520325203252,"REAC:R-MMU-8957322","REAC","Metabolism of steroids",8429,851,"REAC:R-MMU-556833"
"query_1",TRUE,0.0236669538195143,11,27,2,0.0740740740740741,0.181818181818182,"REAC:R-MMU-196108","REAC","Pregnenolone biosynthesis",8429,1112,"REAC:R-MMU-196071"
"query_1",TRUE,0.0327645600271256,15,27,2,0.0740740740740741,0.133333333333333,"REAC:R-MMU-193048","REAC","Androgen biosynthesis",8429,111,"REAC:R-MMU-196071"
"query_1",TRUE,0.045842372708338,571,27,7,0.259259259259259,0.0122591943957968,"REAC:R-MMU-556833","REAC","Metabolism of lipids",8429,842,"REAC:R-MMU-1430728"
"query_1",TRUE,0.0462551836368707,21,27,2,0.0740740740740741,0.0952380952380952,"REAC:R-MMU-8935690","REAC","Digestion",8429,387,"REAC:R-MMU-8963743"
"query_1",TRUE,0.0485685912401502,23,27,2,0.0740740740740741,0.0869565217391304,"REAC:R-MMU-8963743","REAC","Digestion and absorption",8429,388,"REAC:0000000"
